Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Content Studio_1,Chrome 88.0.4324.150,,,2021-02-11 17:54:09,2021-02-11 18:12:35,18m - 25.499s,FAILED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Login Page/294264- Login In Content Studio,Chrome 88.0.4324.150,,,2021-02-11 17:54:11,2021-02-11 17:54:41,29.814s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 17:54:11,2021-02-11 17:54:19,8.388s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:54:19,2021-02-11 17:54:39,19.591s,FAILED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 17:54:39,2021-02-11 17:54:41,1.716s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294266 - Create a new Catalog,Chrome 88.0.4324.150,,,2021-02-11 17:54:41,2021-02-11 17:56:10,1m - 29.254s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 17:54:41,2021-02-11 17:54:47,6.722s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:54:48,2021-02-11 17:55:59,1m - 11.548s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 17:55:59,2021-02-11 17:56:04,5.016s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:56:04,2021-02-11 17:56:09,4.449s,FAILED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 17:56:09,2021-02-11 17:56:10,1.392s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294277 - Edit Catalog with WIP state,Chrome 88.0.4324.150,,,2021-02-11 17:56:10,2021-02-11 17:58:39,2m - 28.675s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 17:56:10,2021-02-11 17:56:16,6.120s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:56:16,2021-02-11 17:56:48,32.091s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 17:56:48,2021-02-11 17:56:53,5.016s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:56:53,2021-02-11 17:57:03,9.925s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 17:57:03,2021-02-11 17:57:05,2.018s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:05,2021-02-11 17:57:15,9.310s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:15,2021-02-11 17:57:45,30.294s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 17:57:45,2021-02-11 17:57:50,5.016s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Show Filter""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:50,2021-02-11 17:57:51,1.444s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/select_Filter_Catalog_Status""), [""statusLabel"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogFilterStatus"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:51,2021-02-11 17:57:53,1.701s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 17:57:53,2021-02-11 17:57:55,2.011s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Search_Catalog""), [""catalogSearch"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:55,2021-02-11 17:57:56,0.646s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 17:57:56,2021-02-11 17:57:59,3.006s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Edit_Single_Catalog""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:57:59,2021-02-11 17:58:00,1.482s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 17:58:00,2021-02-11 17:58:03,3.010s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/Select_UOM""), [""UOM"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UOM2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:58:03,2021-02-11 17:58:04,0.334s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/Select_Currency""), [""currency"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Currency2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:58:04,2021-02-11 17:58:04,0.317s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 17:58:04,2021-02-11 17:58:07,3.013s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/editSelectUnselect_Language""), [""Language"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Language1"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:58:07,2021-02-11 17:58:09,1.629s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 17:58:09,2021-02-11 17:58:12,3.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/editSelectUnselect_Language""), [""Language"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Language2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 17:58:12,2021-02-11 17:58:13,1.529s,PASSED
