Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Content Studio_1,Chrome 88.0.4324.150,,,2021-02-11 18:28:02,2021-02-11 18:47:08,19m - 5.199s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Login Page/294264- Login In Content Studio,Chrome 88.0.4324.150,,,2021-02-11 18:28:04,2021-02-11 18:29:12,1m - 8.054s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:28:04,2021-02-11 18:28:11,7.526s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:28:12,2021-02-11 18:29:11,59.153s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:29:11,2021-02-11 18:29:12,1.217s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294266 - Create a new Catalog,Chrome 88.0.4324.150,,,2021-02-11 18:29:12,2021-02-11 18:30:59,1m - 47.394s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:29:12,2021-02-11 18:29:17,5.021s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:29:17,2021-02-11 18:29:44,27.345s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:29:44,2021-02-11 18:29:49,5.008s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:29:49,2021-02-11 18:29:59,9.887s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:29:59,2021-02-11 18:30:19,19.210s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:30:19,2021-02-11 18:30:49,30.324s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:30:49,2021-02-11 18:30:51,2.014s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Show Filter""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:30:51,2021-02-11 18:30:52,1.512s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:30:52,2021-02-11 18:30:54,2.014s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Search_Catalog""), [""catalogSearch"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:30:54,2021-02-11 18:30:55,0.696s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:30:55,2021-02-11 18:30:58,3.015s,PASSED
