Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"genericFunctions.Utilities.waitForObjectToBeClickableAndClick(findTestObject(""Object Repository/1_Actions_AppSpecific/2_Content Studio/3_Publisher/button_edit_single_catalog""))",Chrome 88.0.4324.150,,,2021-02-11 18:30:58,2021-02-11 18:30:58,0.302s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:30:58,2021-02-11 18:30:59,0.927s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294277 - Edit Catalog with WIP state,Chrome 88.0.4324.150,,,2021-02-11 18:30:59,2021-02-11 18:33:16,2m - 16.316s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:30:59,2021-02-11 18:31:08,8.836s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:31:08,2021-02-11 18:31:27,18.513s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:31:27,2021-02-11 18:31:32,5.014s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:31:32,2021-02-11 18:31:42,10.043s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:31:42,2021-02-11 18:31:44,2.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:31:44,2021-02-11 18:31:52,7.952s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:31:52,2021-02-11 18:32:22,29.975s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:32:22,2021-02-11 18:32:27,5.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Show Filter""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:27,2021-02-11 18:32:28,1.383s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/select_Filter_Catalog_Status""), [""statusLabel"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogFilterStatus"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:28,2021-02-11 18:32:30,1.811s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:32:30,2021-02-11 18:32:32,2.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Search_Catalog""), [""catalogSearch"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:32,2021-02-11 18:32:33,0.555s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:32:33,2021-02-11 18:32:36,3.007s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Edit_Single_Catalog""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:36,2021-02-11 18:32:37,1.486s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:32:37,2021-02-11 18:32:40,3.018s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/Select_UOM""), [""UOM"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UOM2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:40,2021-02-11 18:32:41,0.381s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/Select_Currency""), [""currency"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Currency2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:41,2021-02-11 18:32:41,0.320s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:32:41,2021-02-11 18:32:44,3.011s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/editSelectUnselect_Language""), [""Language"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Language1"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:44,2021-02-11 18:32:45,1.644s,PASSED
delay(3),Chrome 88.0.4324.150,,,2021-02-11 18:32:45,2021-02-11 18:32:49,3.015s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/editSelectUnselect_Language""), [""Language"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Language2"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:49,2021-02-11 18:32:50,1.540s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/2_Edit_Catalog/Click_OK for Catalog Edit""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:32:50,2021-02-11 18:32:55,5.441s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:32:55,2021-02-11 18:33:00,5.010s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Click_Catalog-Authoring""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:33:00,2021-02-11 18:33:03,2.446s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:33:03,2021-02-11 18:33:08,5.012s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Select_Catalog by Search""), [""catalogName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:33:08,2021-02-11 18:33:14,6.346s,PASSED
"strLang = getText(findTestObject(""Object Repository/1_Actions_AppSpecific/2_Content Studio/4_Author/select_language-dropdown""))",Chrome 88.0.4324.150,,,2021-02-11 18:33:14,2021-02-11 18:33:14,0.127s,PASSED
"strCurr = getText(findTestObject(""1_Actions_AppSpecific/2_Content Studio/4_Author/table_td-currency""))",Chrome 88.0.4324.150,,,2021-02-11 18:33:14,2021-02-11 18:33:15,0.111s,PASSED
"strUOM = getText(findTestObject(""1_Actions_AppSpecific/2_Content Studio/4_Author/table_td-uom""))",Chrome 88.0.4324.150,,,2021-02-11 18:33:15,2021-02-11 18:33:15,0.110s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strLang, genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Language2""), ""Expected and actual language string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:33:15,2021-02-11 18:33:15,0.024s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strUOM, genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UOM2""), ""Expected and actual UOM string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:33:15,2021-02-11 18:33:15,0.020s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strCurr, genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Currency2""), ""Expected and actual currency string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:33:15,2021-02-11 18:33:15,0.020s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:33:15,2021-02-11 18:33:16,0.924s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Authoring/294452 - Importing PAF and Catalog Assets on new catalog,Chrome 88.0.4324.150,,,2021-02-11 18:33:16,2021-02-11 18:39:53,6m - 37.366s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:33:16,2021-02-11 18:33:22,6.487s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:33:22,2021-02-11 18:33:42,19.764s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:33:42,2021-02-11 18:33:47,5.012s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:33:47,2021-02-11 18:33:57,9.772s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:33:57,2021-02-11 18:33:59,2.009s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:33:59,2021-02-11 18:34:07,8.091s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:34:07,2021-02-11 18:34:37,29.967s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:34:37,2021-02-11 18:34:42,5.013s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Click_Catalog-Authoring""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:34:42,2021-02-11 18:34:44,2.367s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:34:44,2021-02-11 18:34:49,5.007s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Select_Catalog by Search""), [""catalogName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:34:49,2021-02-11 18:34:56,6.243s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:34:56,2021-02-11 18:35:01,5.019s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Import_PAF""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:35:01,2021-02-11 18:39:09,4m - 8.069s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:39:09,2021-02-11 18:39:14,5.017s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Import_Catalog Assets""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:39:14,2021-02-11 18:39:52,38.080s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:39:52,2021-02-11 18:39:53,1.271s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Authoring/393610 - To generate Release Note for Base Version of a catalog,Chrome 88.0.4324.150,,,2021-02-11 18:39:53,2021-02-11 18:47:08,7m - 14.607s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:39:53,2021-02-11 18:39:59,5.618s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:39:59,2021-02-11 18:40:26,27.327s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:40:26,2021-02-11 18:40:31,5.014s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:40:31,2021-02-11 18:40:41,9.919s,PASSED
delay(2),Chrome 88.0.4324.150,,,2021-02-11 18:40:41,2021-02-11 18:40:43,2.013s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:40:43,2021-02-11 18:40:51,7.959s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:40:51,2021-02-11 18:41:21,29.963s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:41:21,2021-02-11 18:41:26,5.008s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Click_Catalog-Authoring""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:41:26,2021-02-11 18:41:28,2.359s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:41:28,2021-02-11 18:41:33,5.012s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Select_Catalog by Search""), [""catalogName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CatalogName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:41:33,2021-02-11 18:41:40,6.237s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:41:40,2021-02-11 18:41:45,5.013s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Import_PAF""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:41:45,2021-02-11 18:45:52,4m - 7.869s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:45:52,2021-02-11 18:45:58,5.013s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Import_Catalog Assets""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:45:58,2021-02-11 18:46:35,37.974s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:46:35,2021-02-11 18:46:40,5.014s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Click_Release_Note""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:46:40,2021-02-11 18:46:44,3.512s,PASSED
delay(5),Chrome 88.0.4324.150,,,2021-02-11 18:46:44,2021-02-11 18:46:49,5.017s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/4_Author/Generate_Release_Note""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.150,,,2021-02-11 18:46:49,2021-02-11 18:46:56,6.775s,PASSED
delay(10),Chrome 88.0.4324.150,,,2021-02-11 18:46:56,2021-02-11 18:47:06,10.005s,PASSED
formatter = new java.text.SimpleDateFormat(M/dd/yyyy),Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.000s,PASSED
date = new java.util.Date(),Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.000s,PASSED
currentDate = formatter.format(date),Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.001s,PASSED
"strVer = getText(findTestObject(""1_Actions_AppSpecific/2_Content Studio/4_Author/subtitle_Version""))",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.187s,PASSED
"strDate = getText(findTestObject(""1_Actions_AppSpecific/2_Content Studio/4_Author/subtitle_Published_Date""))",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.173s,PASSED
"strnote = getText(findTestObject(""1_Actions_AppSpecific/2_Content Studio/4_Author/subtitle_Release_Note""))",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.174s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strVer, genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""VersionText""), ""Expected and actual Version Text string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.019s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strDate, currentDate, ""Expected and actual Published Date string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.000s,PASSED
"genericFunctions.Assertions.valueEqualityAssertion(strnote, genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Release Note""), ""Expected and actual currency string not equal"")",Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:06,0.019s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.150,,,2021-02-11 18:47:06,2021-02-11 18:47:08,1.233s,PASSED
