Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Content Studio_1,Chrome 88.0.4324.182,,,2021-02-19 15:51:39,2021-02-19 16:09:45,18m - 6.091s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Login Page/294264- Login In Content Studio,Chrome 88.0.4324.182,,,2021-02-19 15:51:41,2021-02-19 15:52:27,46.397s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.182,,,2021-02-19 15:51:41,2021-02-19 15:51:47,6.591s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.182,,,2021-02-19 15:51:47,2021-02-19 15:52:25,37.960s,PASSED
Start listener action : sampleAfterTestCase,Chrome 88.0.4324.182,,,2021-02-19 15:52:25,2021-02-19 15:52:27,1.710s,PASSED
,,,,,,,
Test Cases/2_TestCases/2_Content Studio/Publisher/294266 - Create a new Catalog,Chrome 88.0.4324.182,,,2021-02-19 15:52:27,2021-02-19 15:53:47,1m - 19.678s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 88.0.4324.182,,,2021-02-19 15:52:27,2021-02-19 15:52:33,5.669s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/1_Login-Page/LoginToCS""), [""userEmail"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""UserEmail""), ""Password"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""Password"")], STOP_ON_FAILURE)",Chrome 88.0.4324.182,,,2021-02-19 15:52:33,2021-02-19 15:52:48,15.246s,PASSED
delay(5),Chrome 88.0.4324.182,,,2021-02-19 15:52:48,2021-02-19 15:52:53,5.000s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/1_Action_Common/2_Company Selection/select_Company""), [""CompanyName"":genericFunctions.DataProcessing.readTestDataFromExcelFile(currentTestCaseID, ""CompanyName"")], STOP_ON_FAILURE)",Chrome 88.0.4324.182,,,2021-02-19 15:52:53,2021-02-19 15:53:02,8.577s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Click_Publisher""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.182,,,2021-02-19 15:53:02,2021-02-19 15:53:06,4.491s,PASSED
"callTestCase(findTestCase(""1_Actions_AppSpecific/2_Content Studio/3_Publisher/Catalog_Creation""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.182,,,2021-02-19 15:53:06,2021-02-19 15:53:36,29.876s,PASSED
delay(2),Chrome 88.0.4324.182,,,2021-02-19 15:53:36,2021-02-19 15:53:38,2.003s,PASSED
